angle,intensity
1.000000000000000000e+01,4.617916204887649867e-01
1.002000571591883471e+01,9.804208026795587783e-01
1.004001143183766764e+01,7.741980023718102455e-01
1.006001714775650235e+01,1.084215515735322599e+00
1.008002286367533529e+01,1.772561365374546227e+00
1.010002857959417000e+01,3.028963182569568979e-01
1.012003429551300293e+01,6.929788877842917305e-01
1.014004001143183764e+01,8.559577133811008265e-01
1.016004572735067235e+01,1.634678655863156971e+00
1.018005144326950528e+01,1.821588688652719945e+00
1.020005715918833999e+01,1.241357634535225518e+00
1.022006287510717293e+01,3.556971533770047489e-01
1.024006859102600764e+01,5.760229770969976792e-01
1.026007430694484057e+01,8.400060452704327663e-01
1.028008002286367528e+01,1.384993696712928823e+00
1.030008573878250999e+01,1.584906449810488560e+00
1.032009145470134293e+01,1.825084775999863185e+00
1.034009717062017764e+01,1.868872510227666262e-01
1.036010288653901057e+01,8.021682603045496851e-01
1.038010860245784528e+01,7.083514053284789558e-01
1.040011431837667999e+01,1.990879597928474798e+00
1.042012003429551292e+01,8.320168081041900976e-01
1.044012575021434763e+01,1.548957162159305678e+00
1.046013146613318057e+01,1.103413457230850048e+00
1.048013718205201528e+01,4.797919231165442833e-01
1.050014289797084821e+01,2.666936292573605649e-01
1.052014861388968292e+01,1.857978766368638013e+00
1.054015432980851585e+01,1.865938560915069822e+00
1.056016004572735056e+01,8.672027703430742474e-01
1.058016576164618527e+01,1.162603907715453300e+00
1.060017147756501821e+01,3.242142676364595522e-01
1.062017719348385292e+01,1.573325560420395952e+00
1.064018290940268585e+01,2.055938448911937222e+00
1.066018862532152056e+01,1.119695465655366595e+00
1.068019434124035527e+01,1.882793679230911676e+00
1.070020005715918820e+01,3.069146804789448235e-01
1.072020577307802292e+01,7.097750617097955406e-01
1.074021148899685585e+01,1.258908667879484300e+00
1.076021720491569056e+01,1.413877212672516093e+00
1.078022292083452349e+01,8.708257750329575497e-01
1.080022863675335820e+01,5.622499251295585143e-01
1.082023435267219291e+01,6.947177107509692195e-01
1.084024006859102585e+01,1.724060745657068905e+00
1.086024578450986056e+01,1.744775242278597815e+00
1.088025150042869349e+01,1.176698329797037479e+00
1.090025721634752820e+01,1.652901146844259817e+00
1.092026293226636113e+01,6.358766056865158278e-01
1.094026864818519584e+01,2.140560941048106791e+00
1.096027436410403055e+01,1.939800025764749192e+00
1.098028008002286349e+01,8.687893252025369328e-01
1.100028579594169820e+01,9.887929521822786949e-01
1.102029151186053113e+01,1.647452046988029162e+00
1.104029722777936584e+01,1.106046321286844991e+00
1.106030294369819877e+01,1.232835741816500130e+00
1.108030865961703348e+01,9.003864063231025172e-01
1.110031437553586819e+01,1.768936158153098237e+00
1.112032009145470113e+01,9.537878601379973231e-01
1.114032580737353584e+01,1.412234600405443352e+00
1.116033152329236877e+01,1.534775132658471763e+00
1.118033723921120348e+01,1.216690556844742366e+00
1.120034295513003642e+01,7.527782999643858330e-01
1.122034867104887113e+01,2.283129619690906331e+00
1.124035438696770584e+01,2.269089530244405850e+00
1.126036010288653877e+01,2.221274439410993118e+00
1.128036581880537348e+01,7.950162972218718371e-01
1.130037153472420641e+01,9.413771699397432968e-01
1.132037725064304112e+01,1.014626183247095748e+00
1.134038296656187583e+01,1.898811245193853692e+00
1.136038868248070877e+01,1.935604366027140477e+00
1.138039439839954348e+01,1.084999158870177505e+00
1.140040011431837641e+01,1.208035809748479794e+00
1.142040583023721112e+01,1.425155129223796946e+00
1.144041154615604405e+01,1.668011927670044914e+00
1.146041726207487876e+01,5.595759208838325671e-01
1.148042297799371170e+01,1.088244170181216885e+00
